ett_ben,нога 
ett_bröst,грудь 
ett_finger,палец 
ett_huvud,голова 
ett_knä,колено 
ett_öga,глаз 
ett_öra,ухо 
engagerad,увлеченный
trygg,надёжный
vågar,решаться
hoppas,надеяться
eftersom,так как
försörjer,обеспечивать
ett ansvar,ответственность
en omtanke,забота
skapar,создавать
kompletterar,дополняет
en drivkraft,движущая сила
en livserfarenhet,жизненный опыт
en förebild,образцом для подражания
behandlar,обращаться
en värme,тепло
tröstar,утешать
en undervisning,преподавание
trygghet,безопасность
vanligt,обычный
vrålar,реветь
högt,высокий
anställning,трудоустройство
föreställning,спектакль
framförallt,превыше_всего
tävling,соревнование
väl,хорошо_("также_ -_ много")
besked,ответ(сообщение)
ordförande,председатель
sånt,такой
försiktig,осторожный

